"filename", "language", "SCSS", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"d:\JS\light-store\src\app\modules\shared\components\header\header.component.ts", "TypeScript", 0, 36, 0, 0, 0, 6, 42
"d:\JS\light-store\src\app\modules\shared\components\image-selector\image-selector.component.html", "HTML", 0, 0, 4, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\shared\components\image-selector\image-selector.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\shared\components\image-selector\image-selector.component.ts", "TypeScript", 0, 16, 0, 0, 0, 5, 21
"d:\JS\light-store\src\app\modules\shared\components\modal-accept\modal-accept.component.html", "HTML", 0, 0, 8, 0, 0, 1, 9
"d:\JS\light-store\src\app\modules\shared\components\modal-accept\modal-accept.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\shared\components\modal-accept\modal-accept.component.ts", "TypeScript", 0, 26, 0, 0, 0, 7, 33
"d:\JS\light-store\src\app\modules\shared\components\modal\modal.component.html", "HTML", 0, 0, 5, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\shared\components\modal\modal.component.scss", "SCSS", 16, 0, 0, 0, 0, 4, 20
"d:\JS\light-store\src\app\modules\shared\components\modal\modal.component.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 16
"d:\JS\light-store\src\app\modules\shared\components\notification-container\notification-container.component.html", "HTML", 0, 0, 3, 0, 0, 1, 4
"d:\JS\light-store\src\app\modules\shared\components\notification-container\notification-container.component.scss", "SCSS", 5, 0, 0, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\shared\components\notification-container\notification-container.component.ts", "TypeScript", 0, 23, 0, 0, 0, 4, 27
"d:\JS\light-store\src\app\modules\shared\components\notification\notification.component.html", "HTML", 0, 0, 11, 0, 0, 1, 12
"d:\JS\light-store\src\app\modules\shared\components\notification\notification.component.scss", "SCSS", 32, 0, 0, 0, 0, 4, 36
"d:\JS\light-store\src\app\modules\shared\components\notification\notification.component.ts", "TypeScript", 0, 13, 0, 0, 0, 2, 15
"d:\JS\light-store\src\app\modules\shared\components\pagination-control\pagination-control.component.html", "HTML", 0, 0, 21, 0, 0, 1, 22
